metric,n,mean,std,min,max,cv,range
contextual,668,4.016849599219396,2.5115246247982483,-2.049387860838686,13.713961573092304,0.6252473643241008,15.76334943393099
B,668,0.27174996075545943,0.09399747632904995,-0.11954872117566452,0.48055841802018395,0.3458969269682279,0.6001071391958485
density,668,0.017500831669993347,0.006599937670064808,0.0038888888888888888,0.03138888888888889,0.37712137311628213,0.0275
CV,668,1.7898334880553335,0.34304699321393034,0.7864340891745675,2.8502885971838006,0.1916641941852665,2.063854508009233
