n_events,n_cells,grid_rows,grid_cols,n_active_cells,n_hotspot_candidates,n_hotspots,max_intensity,max_support,bandwidth_cells,compute_ms,spatial_bw_m,experiment,temporal_bw_h,grid_cell_m,kernel,min_support
80000,2332,53,44,965,1553,15,1910.8897189061595,605,2,447.2,1500.0,Exp5_Sweep,,800.0,,
80000,2332,53,44,965,1775,15,3439.9835782268083,605,3,532.7,2000.0,Exp5_Sweep,,800.0,,
80000,2332,53,44,965,1869,15,5245.58072770346,605,4,583.3,3000.0,Exp5_Sweep,,800.0,,
80000,1505,43,35,654,975,15,1166.2271404479513,950,1,411.8,500.0,Exp5_Sweep,,1000.0,,
80000,1505,43,35,654,975,15,1166.2271404479513,950,1,389.2,750.0,Exp5_Sweep,,1000.0,,
80000,1505,43,35,654,975,15,1166.2271404479513,950,1,394.5,1000.0,Exp5_Sweep,,1000.0,,
80000,1505,43,35,654,1075,15,2628.9141878534006,950,2,409.4,1500.0,Exp5_Sweep,,1000.0,,
80000,1505,43,35,654,1075,15,2628.9141878534006,950,2,418.8,2000.0,Exp5_Sweep,,1000.0,,
80000,1505,43,35,654,1235,15,4794.17205327535,950,3,468.0,3000.0,Exp5_Sweep,,1000.0,,
80000,696,29,24,338,506,15,1631.2136299879085,1167,1,391.8,750.0,Exp5_Sweep,,1500.0,,
80000,696,29,24,338,506,15,1631.2136299879085,1167,1,386.1,1000.0,Exp5_Sweep,,1500.0,,
80000,696,29,24,338,506,15,1631.2136299879085,1167,1,392.4,1500.0,Exp5_Sweep,,1500.0,,
80000,696,29,24,338,561,15,4477.7769472655855,1167,2,401.1,2000.0,Exp5_Sweep,,1500.0,,
80000,696,29,24,338,561,15,4477.7769472655855,1167,2,392.4,3000.0,Exp5_Sweep,,1500.0,,
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,799.7,,Exp6_MinSupport,,,,1.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,542.7,,Exp6_MinSupport,,,,3.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,592.8,,Exp6_MinSupport,,,,5.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,559.9,,Exp6_MinSupport,,,,10.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,538.0,,Exp6_MinSupport,,,,20.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,550.2,,Exp6_MinSupport,,,,50.0
80000,5950,85,70,2247,3488,50,1162.170359624758,457,2,549.6,,Exp6_MinSupport,,,,100.0
